"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "XML", "JSON", "HTML", "comment", "blank", "total"
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\.eslintrc.cjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\README.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 4, 9
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\package-lock.json", "JSON", 0, 0, 0, 0, 0, 4386, 0, 0, 1, 4387
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\package.json", "JSON", 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\public\assets\icons\back.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\public\assets\icons\facebook.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\public\assets\icons\forward.svg", "XML", 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\public\assets\icons\instagram.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\public\assets\icons\linkdin.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\public\assets\icons\pinterest.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\public\assets\icons\search.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\public\assets\icons\threads.svg", "XML", 0, 0, 0, 0, 29, 0, 0, 0, 2, 31
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\public\assets\icons\twitter.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\public\logo.svg", "XML", 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\src\App.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\src\components\Categories.jsx", "JavaScript JSX", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\src\components\Featured.jsx", "JavaScript JSX", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\src\components\LatestPosts.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 3, 18
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\src\components\Navbar.jsx", "JavaScript JSX", 0, 93, 0, 0, 0, 0, 0, 0, 3, 96
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\src\components\Pagination.jsx", "JavaScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\src\components\shared\Button.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\src\components\shared\Card.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\src\components\shared\CategoryCard.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 0, 5, 33
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\src\index.css", "CSS", 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\src\main.jsx", "JavaScript JSX", 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\tailwind.config.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 2, 2, 35
"e:\Programs\Web Development\WPXPO Skill acessment\Blushlly\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 62, 247, 31, 5, 78, 4417, 13, 3, 58, 4914